H1_heme	C5_GO_RIBOSOME_BIOGENESIS	GSE628_t21_t0_Erythroid_Up_Genes	Transfac_GATA1
ABCB6	AATF	ZGLP1	AGGF1
ABCG2	ABCF1	PSME4	AHSP
ACP5	ABT1	PNPO	ALAS2
ACSL6	BMS1	LOC647013	ALOX15
ADD1	BOP1	OSBPL11	BCL2L1
ADD2	BRIX1	FAM50A	CBFA2T3
ADIPOR1	BYSL	NUSAP1	CCR3
AGPAT4	C16orf42	ARRB1	CCR5
AHSP	C1D	SELS	CD36
ALAD	C1QBP	FNTB	CEBPA
ALAS2	C7orf30	LIMS3	CLC
ALDH1L1	C7orf60	ATP6V0B	COPS5
ALDH6A1	CDKN2A	ACHE	CPOX
ANK1	CHD7	ACP5	CTSE
AQP3	CIRH1A	ADD1	CYBB
ARHGEF12	CSNK1D	PLIN2	EPO
ARL2BP	CSNK1E	ALAS2	EPOR
ASNS	DCAF13	AMPD3	F13A1
ATG4A	DDX21	ANK1	FCER1A
ATP6V0A1	DDX27	AP2A1	FECH
BACH1	DDX28	ARSA	FURIN
BCAM	DDX31	ATP1B2	GFI1B
BLVRA	DDX3X	ATP6V0D1	GP1BB
BLVRB	DDX47	ATP6V1E1	GP6
BMP2K	DDX49	ATP6V0E1	GP9
BNIP3L	DDX51	ATP6V0A1	GSTP1
BPGM	DDX52	ATP8A1	GYPA
BSG	DDX56	ATPIF1	GYPB
BTG2	DHX30	BACH1	GYPC
BTRC	DHX37	BCL2L1	HBA1
C3	DIEXF	BTG2	HBB
CA1	DIMT1	BTN1A1	HBE1
CA2	DIS3	CAT	HBG1
CAST	DIS3L	CCRN4L	HBZ
CAT	DIS3L2	CDKN2C	HHEX
CCDC28A	DKC1	CDR2	HLA-E
CCND3	DROSHA	CLCN3	HMBS
CDC27	EBNA1BP2	TPP1	HOXB2
CDR2	EFTUD1	CMAS	ITGA2B
CIR1	EIF2A	COX7A1	ITGAV
CLCN3	EIF4A3	CPT1A	KEL
CLIC2	EIF6	CRAT	LMO2
CPOX	EMG1	CRLF1	MUC5B
CROCCP2	ERAL1	CSF2RB	MYCBP
CTNS	ERI1	CSF2RB	PBXIP1
CTSB	ERI2	PCYT1A	PPOX
CTSE	ERI3	CTSB	PRG2
DAAM1	EXOSC1	GADD45A	RFC1
DARC	EXOSC10	DDIT3	RHCE
DCAF10	EXOSC2	DDT	RNASE2
DCAF11	EXOSC3	DEGS1	RUNX1T1
DCUN1D1	EXOSC4	REEP5	SMAD7
E2F2	EXOSC5	EBP	SPTA1
EIF2AK1	EXOSC6	EPB49	SPTB
ELL2	EXOSC7	EPN1	TBXA2R
