Input Sample	CFU_E	INT_E	LATE_E	PRO_E	P-value	Pearson Correlation	RMSE
DBA_Gata1_G1_mut_235	0.81427493005594	0.051005202325334	0.13471986761872	0	0	0.7134735061743295	0.7393417071608843
DBA_Gata1_G1_mut_44	0.74111910866995	0	0.20564157371918	0.053239317610864	0	0.736333401252743	0.7715078306173628
DBA_Gata1_G1_mut_44_2	0.89919072005598	0	0.10080927994402	0	0	0.8252047547649233	0.5766355765109911
DBA_Gata1_G2_mut_44	0.32506837635378	0.22970584459902	0.22764483792287	0.21758094112432	0	0.7132505653062263	0.7671317178100829
DBA_Indeterminate_I1_mut_235	0.018924513774032	0.81376485564053	0.14112614988866	0.026184480696781	0	0.9484876214251261	0.5048298139890462
DBA_Indeterminate_I1_mut_44	0.85708667731422	0	0.14291332268578	0	0	0.7627606370980167	0.6619058118558805
DBA_Indeterminate_I2_mut_44	0.25176369109216	0.12615292307034	0.16544491746077	0.45663846837673	0	0.9080307301361933	0.4270343209370165
DBA_Indeterminate_I3_mut_44	0.43571354540732	0.24388832941541	0.18124442921827	0.139153695959	0	0.8629123058349015	0.5610340677123752
DBA_Indeterminate_I3_mut_44_2	0.37860640101645	0.10745826288305	0.21853660867073	0.29539872742977	0	0.8265848622714475	0.5919432227169537
DBA_Indeterminate_I4_mut_235	0	0.38946590255466	0.088961796406238	0.5215723010391	0	0.9002637389611181	0.43887720677361813
DBA_Indeterminate_I4_mut_44	0.10682682016511	0	0.10706959244314	0.78610358739175	0	0.8169447112724614	0.5796039007313959
Normal_N1_mut_235	0	0.62047392889369	0.13666259704553	0.24286347406078	0	0.9421704315219595	0.37510682192761335
Normal_N1_mut_44	0.37143609217848	0	0.16195814662854	0.46660576119298	0	0.8629819334732785	0.5170172961932236
Normal_N10_mut_235	0.31366319071731	0.53343123683463	0.15290557244806	0	0	0.8899788853096297	0.5909178223169411
Normal_N2_mut_235	0.13297923507579	0.76479689098454	0.10222387393967	0	0	0.8759972460876198	0.6216123400953055
Normal_N2_mut_235_2	0	0.8286033383352	0.1713966616648	0	0	0.9022170167836554	0.7517653875722438
Normal_N2_mut_44	0.68675874778232	0.14964584743093	0.13399186408261	0.029603540704146	0	0.7750036383135892	0.6800404963193687
Normal_N3_mut_235	0	0.82963518900998	0.17036481099002	0	0	0.8781419975243977	0.7434935630728833
Normal_N3_mut_44	0.44865078899371	0.078383581597617	0.14744815270549	0.32551747670319	0	0.7450242803787932	0.6912585742914013
Normal_N4_mut_235	0.22998973682223	0.61602932746857	0.14114634313006	0.012834592579147	0	0.9415853506721407	0.42059641478555204
Normal_N4_mut_44	0.90136037044985	0	0.098639629550153	0	0	0.6700320527604785	0.7571220993256644
Normal_N5_mut_235	0	0.51288954753336	0.10720661425066	0.37990383821597	0	0.9256701055763034	0.3905375420961216
Normal_N5_mut_44	0.34409144709921	0	0.17897515476401	0.47693339813678	0	0.8493174995907002	0.547000137144925
Normal_N6_mut_235	0	0.43260792623449	0.14376811444619	0.42362395931932	0	0.8495956729683755	0.5677324372922169
Normal_N6_mut_44	0.46888871101818	0	0.20771963009956	0.32339165888226	0	0.7653614926868314	0.6750040212832563
Normal_N7_mut_235	0	0.63715139217928	0.072728628870825	0.29011997894989	0	0.9273829211167333	0.3953881908367185
Normal_N7_mut_44	0.077718699665911	0	0.1558510064913	0.76643029384279	0	0.8175456856284002	0.5896399526825576
Normal_N8_mut_44	0.10674771747256	0	0.27256790326945	0.62068437925799	0	0.7370219974606448	0.7693508442846921
Normal_N9_mut_235	0	0.82901410968376	0.16826952711505	0.0027163632011858	0	0.9569523416210675	0.4249437059195232
DBA_Rps17_R1_mut_44	0.6504646906811	0.2810903918279	0.068444917490997	0	0	0.7716761430367085	0.6408861616360501
DBA_Rpl5_R2_mut_44	0.43901210440296	0.33247526635568	0.14256710978262	0.085945519458741	0	0.9260499841555513	0.38960171049854264
DBA_Rpl35A_R3_mut_235	0	0.81635075327107	0.18364924672893	0	0	0.91842572088788	0.6668837176095852
DBA_Rpl35A_R3_mut_235_2	0	0.89576646677569	0.066718904279917	0.037514628944395	0	0.8559078998772455	0.6366252241964475
DBA_Rpl35A_R3_mut_44	0.69076601635835	0	0.15362865132863	0.15560533231302	0	0.8200070196913821	0.601921240295776
DBA_Rpl35A_R3_mut_44_2	0.43349309232224	0.033546091479577	0.11328175294824	0.41967906324995	0	0.6634687577671755	0.7671916602771471
DBA_Rps24_R4_mut_44	0.7309152684254	0.088599819965424	0.18048491160917	0	0	0.8002670254451462	0.6060543287084541
DBA_Rps17_R5_mut_44	0.1592406366298	0.0092468020115402	0.2269558924867	0.60455666887196	0	0.7804001525733076	0.6710809579668474
