Input Sample	CD34neg_CD71lo_GlyApos	CD34neg_CD71neg_GlyApos	CD34neg_CD71pos_GlyAneg	CD34neg_CD71pos_GlyApos	CD34pos_CD71pos_GlyAneg	P-value	Pearson Correlation	RMSE
DBA_Gata1_G1_mut_235	0	0.37358994587227	0.62641005412773	0	0	0	0.7185400240585438	0.7721200074353798
DBA_Gata1_G1_mut_44	0	0.53727965198684	0.19956525196718	0	0.26315509604599	0	0.6713706677745866	0.9868492489983939
DBA_Gata1_G1_mut_44_2	0	0.31043766947418	0.42412634534458	0	0.26543598518124	0	0.7881696061566587	0.6402948169358249
DBA_Gata1_G2_mut_44	0	0.18746549082765	0.50443017556323	0.23081510268333	0.077289230925788	0	0.717901546002421	0.7630969251950861
DBA_Indeterminate_I1_mut_235	0.55874039814915	0	0.21068391753551	0.23057568431533	0	0	0.9133859285271294	0.7424241683340022
DBA_Indeterminate_I1_mut_44	0	0.4153193890995	0.36829664538743	0	0.21638396551307	0	0.6747313643227131	0.8089782923884089
DBA_Indeterminate_I2_mut_44	0	0.14034445303248	0.54575049766154	0.22210574777027	0.091799301535722	0	0.9032629801420139	0.47448936910271133
DBA_Indeterminate_I3_mut_44	0.078542267022777	0	0.49087197761105	0.43058575536617	0	0	0.8691715767439464	0.7631599967800116
DBA_Indeterminate_I3_mut_44_2	0	0.35200501034301	0.28663726034407	0.1885043860713	0.17285334324162	0	0.8089076044328093	0.7283383271057657
DBA_Indeterminate_I4_mut_235	0.65843802871988	0	0.29974870254366	0.014725001766422	0.027088266970035	0	0.8595850125305623	0.6390430000174117
DBA_Indeterminate_I4_mut_44	0	0.05675329241709	0.52429118886316	0.15589489931586	0.26306061940389	0	0.7765003686489292	0.6498532580590541
Normal_N1_mut_235	0.53707146100986	0	0.19699739437386	0.26593114461628	0	0	0.9164630342645463	0.7041213838796654
Normal_N1_mut_44	0.24470400890249	0.10947534169704	0.2444358488772	0	0.40138480052327	0	0.8116495201896204	0.6172652289058319
Normal_N10_mut_235	0.39908796447048	0	0.3041120023352	0.25289551121835	0.043904521975967	0	0.894385273659945	0.7969585241001779
Normal_N2_mut_235	0.54667574241019	0.34227371456432	0.061020055264677	0.050030487760814	0	0	0.8815663757251053	1.0058154180450816
Normal_N2_mut_235_2	0.87453641820685	0.033345879122337	0.092117702670818	0	0	0	0.8842398553545987	0.9574027784319464
Normal_N2_mut_44	0.13497380773336	0.31766150239118	0.54239268835253	0	0.0049720015229225	0	0.7478562606228591	0.8131684829518796
Normal_N3_mut_235	0.77233622522473	0	0.22766377477527	0	0	0	0.8626482901279303	0.7595446472379734
Normal_N3_mut_44	0.20253268064526	0.17750730488806	0.36898534551845	0	0.25097466894822	0	0.7333731631321665	0.7302288029833982
Normal_N4_mut_235	0.30935599965798	0	0.33958209009132	0.3510619102507	0	0	0.9297818231579786	0.6475094933802518
Normal_N4_mut_44	0	0.40538288614804	0	0	0.59461711385196	0	0.6016686923448216	0.8502590854741392
Normal_N5_mut_235	0.52047356718589	0	0.12531751304424	0.19660429486875	0.15760462490113	0	0.8979367102437297	0.6448515357474524
Normal_N5_mut_44	0.031881129196768	0	0.19309147557235	0.29048324162097	0.48454415360991	0	0.789028809022629	0.6773053556901056
Normal_N6_mut_235	0.49957307959043	0	0.092270392065653	0.30291446311573	0.10524206522819	0	0.8514076276164858	0.941789101089654
Normal_N6_mut_44	0.28416565862806	0	0	0.10702101990049	0.60881332147146	0	0.7015961671523169	0.7697572077325087
Normal_N7_mut_235	0.72886842806447	0	0.088261630790404	0.15144710985542	0.03142283128971	0	0.9015922904390901	0.8206640327199228
Normal_N7_mut_44	0.38094570565417	0.074742431087764	0.26087186673426	0	0.2834399965238	0	0.7328346817954491	0.7791591958213959
Normal_N8_mut_44	0	0.56551600749103	0.17485096867628	0.058672631407919	0.20096039242478	0	0.7178563147755118	0.9388212834020603
Normal_N9_mut_235	0.89128099158848	0	0.068529735133309	0.040189273278211	0	0	0.9295415929470247	0.6687003908043714
DBA_Rps17_R1_mut_44	0	0.28296676924382	0.45255067231226	0.26448255844392	0	0	0.8174524309175824	0.7499048080995377
DBA_Rpl5_R2_mut_44	0.22777241153328	0.2797176993992	0.3644591067753	0	0.12805078229222	0	0.9194775414814126	0.451276648801112
DBA_Rpl35A_R3_mut_235	0.80134056003034	0	0.19034466888285	0.0083147710868121	0	0	0.8924453796616033	0.7421459787734528
DBA_Rpl35A_R3_mut_235_2	0.85851591618229	0	0	0.14148408381771	0	0	0.8085952801795381	1.1146661517852137
DBA_Rpl35A_R3_mut_44	0	0.31422534883502	0.27343352859546	0.027527268462575	0.38481385410694	0	0.7504154943032875	0.7218642259362039
DBA_Rpl35A_R3_mut_44_2	0	0.2673268509202	0	0.003339943412122	0.72933320566767	0	0.6622536422697075	0.7718799459343734
DBA_Rps24_R4_mut_44	0	0.57693336621443	0.34686690380179	0.076199729983777	0	0	0.8050119572765209	0.7706349949910432
DBA_Rps17_R5_mut_44	0	0.10158858137092	0.33354470367755	0.31668999073422	0.24817672421731	0	0.7618635536848751	0.7645624138652727
