Var1	CFU_E	INT_E	LATE_E	PRO_E
ACSBG2	5.02101410549095	4.86859856820375	4.9066829719309	4.82183389817315
ADCYAP1R1	4.97827135599153	5.18287880837563	5.51783793938149	5.05338380349047
AMELY	4.20229053138319	4.36106228002767	4.29521121043734	4.32895150875471
ANKRD6	5.49083899678815	4.8156073145642	5.11242602649217	5.04229422666232
APOM	6.26188546240403	6.54142451709024	6.34961281498292	6.24166290677214
ARAP3	5.01624942126489	5.2184026255445	5.43301710099321	5.21035053662093
ARF5	6.93867017425803	7.00415168880243	7.17932327130152	6.89178291034327
ARHGAP29	4.53134729099277	4.38040598243095	4.40242876460384	4.30049472550234
ARHGEF10L	4.92541099734087	5.09706991768252	5.4100103066257	4.95687298412586
ARSJ	4.07618368241155	4.02154919355114	4.01453095098918	3.94603010280414
BCL7B	7.95768007553235	7.2772340743637	7.69453319130168	7.84264040333552
C3orf52	4.89983214880485	4.78586581478877	4.98147286392584	5.25276435413413
CACNB3	6.09273970377367	5.60124507957394	5.75736198808711	5.5758589918834
CBLL1	7.62827135734739	8.16722732267163	7.91172276942632	7.90039796925333
CCDC134	6.59391922762129	6.85279223462441	6.44886367525388	6.48072413703555
CCHCR1	6.52795965009892	6.71406325193222	6.13989377052939	6.73194107279193
CCT8L2	4.49857643543878	4.4071433576089	4.68597471242179	4.40065165648325
CD1E	4.38305029811862	4.72066864884955	5.14764257576697	4.6323556990165
CDH9	3.93872219320709	4.05029044643993	4.36157000003501	3.85368445974843
CDR1	4.06459824422076	4.01987484734222	4.46681418494466	4.18319430140501
CEP135	7.98582601857211	8.87019673420611	6.94747814331708	8.13928856215022
CES1	5.10975949434235	4.89650239614986	4.95852178947188	4.85941179343377
CHN2	5.55967969212209	6.89049636782338	6.0379032185524	5.66737032818988
CHRM4	5.71699685919117	5.54550601772609	5.59731198358352	5.52589601644978
CLDN18	5.1925028121991	5.38444650239544	5.61886219154885	5.34452578536779
CRYGA	4.59080263262955	4.44947775994971	4.93645873464666	4.38523666006299
CTDNEP1	9.0754255320221	8.2462121353525	9.29506490948703	8.87009810595672
CYP2C19	3.96719535061037	3.92881138075581	4.0819896102975	3.89345303944872
DENND2D	7.04998208977023	7.012340418101	7.06410770979756	7.14508987024009
DMRT1	4.96358475394012	4.95889817839985	4.98967972265815	5.04874977112924
DSPP	5.09914219748135	5.30477415578465	5.68738269569355	5.12716742018024
DUSP21	4.76571329018835	4.47200182165491	5.12843281938084	4.69438472115998
EDNRA	4.43987625644267	4.4689728853881	4.8552728309387	4.58912975188128
EMC6	6.88401883715435	6.1216476421925	6.59439394953234	6.76757162381103
ENDOD1	7.35858360987809	9.32052844502565	8.23540425709665	8.03105545613498
F8	5.18567736416868	5.51219351724598	4.80093120959506	5.24610694833207
FAM193A	7.56090319086128	7.41263889887447	7.74817026398245	7.52134914473027
FBXO40	4.70829745415421	4.55669026573137	4.80130923800302	4.68756006924151
FGF4	5.24921578888241	5.02525201330586	5.63713168546944	5.08323052993322
FHIT	5.70322569926567	5.91905207330003	5.49251481883448	5.70527564586482
FRMD8	6.08021420434042	6.26876655740791	6.79309321941945	5.93747126691982
GABRA3	4.42839242083514	4.3042876719037	4.73642160106225	4.24330196390711
GALR1	4.04136899261663	4.14045715980653	4.37503803243874	4.18493691316465
GH1	4.49947304578037	4.60999010839901	4.77803657028171	4.55556082168672
GLI1	4.70812572074308	4.93674895096258	5.17160224036984	4.92885466462338
GLRB	5.05426256917553	4.74098496008597	5.21166555169489	5.00161058357129
GNAI3	10.5929211113537	9.94558347300806	8.7370612660332	10.5058520918254
GNGT1	4.01811136310894	4.03073383915577	4.16817890014059	3.90457110873977
HRC	5.1729219680918	5.26046406925425	5.48753912791935	5.12504845837564
HSF1	6.99281388198169	6.81032589159919	7.55180949529762	7.11618612366069
HTR2B	5.08802746512928	5.05285184878619	5.07292690967489	5.00322388460998
IFNA21	3.57262323058994	3.77160610183494	4.09900649901687	3.64152125919942
IL36A	5.11737993848987	5.00617086572569	5.31448042421612	5.03087206732492
IRS2	8.94257666319683	9.81367941671629	11.1414343347716	9.35394169546588
JADE3	7.70711638738781	6.9840716405006	5.54510953166491	7.69705757658295
KCNE5	4.86256882738206	4.73331952695558	5.10051641372235	4.89826741550886
KCNJ9	4.95579197058094	4.81000650456291	5.19288852017944	4.86660237790019
KDR	4.38247756476165	4.62163867687781	4.83828241892662	4.64458034818037
KIAA1551	8.3982173751481	9.43779137748702	7.95584421442047	8.59700521096582
KRAS	9.6375299908438	10.1796827988616	8.97597974002448	9.75587358448386
LIN7A	5.54214346162097	5.27700609438721	5.32149150213038	5.13401225539691
LOC103344931	5.96788929647053	6.1590943018802	5.64286622434529	5.92490055240744
LPA	4.06734342830227	4.01782507987932	4.05421866927067	3.93039340710049
LRIT1	4.60698265750182	4.46136720996123	4.78350475109301	4.61614748199501
LRRFIP2	8.29008139719247	8.95158740971505	10.0632540836201	8.49742058241486
MC4R	3.94162028876373	4.23118507058223	4.16456018805003	4.1136554991983
MRPS18A	8.6370701257167	8.15781912297429	7.17222347818084	8.66509915756517
MYO9A	7.39006567168791	7.70571146194352	6.6929411656365	7.7726536961282
NCR2	5.9997025408258	6.00377757903397	6.36370944378308	6.12356428701804
NDRG4	5.08006332403418	5.18431016133703	5.42845203208771	5.04766885929658
NOP14-AS1	7.1791695756605	7.19619439987032	7.48167453656014	6.93294603807106
P2RX2	5.51633642824744	5.36528734809305	5.78499824321251	5.39883429988369
PACSIN3	5.47854579892285	5.36297012901419	5.74267565270155	5.32978561360935
PALM	6.19644196700351	6.32998894866867	6.65332480187155	6.14440238166126
PCDH17	5.09328008619287	5.28783519094891	5.5904944921887	5.17497164454051
PCM1	10.5836632473282	11.1549918966311	10.8468962867147	10.8054645737511
PDZD2	5.01431088977731	4.67360771262242	4.82170893677615	4.77330082338079
PLAUR	6.51182357575085	6.82542091933848	6.54352476342057	6.30272005354994
PLEKHS1	4.34599350829235	4.52052215773044	4.56566051837068	4.47880174085632
PON1	4.55408328745128	4.29433853499942	4.24707995091589	4.36642660180542
PRL	4.08501675560024	3.86670880529102	4.40450407706515	4.1200159002278
PRODH2	4.81711009888048	4.67206192142764	5.08799522059636	4.85864665907476
PRRG1	5.3117008558017	5.49213153702196	5.40715148556133	5.42169353635497
PSIP1	10.2476173508675	11.232941122006	9.05892615118288	10.4481627140278
PTPRU	5.42685244546771	5.34422138033063	5.62611387782955	5.31280090989319
QKI	9.7049147058247	10.2385435117202	9.21481492196954	9.66328756710727
RAB9BP1	3.68500770895545	3.8055723299509	4.00209643781485	3.72830192110591
RASSF8	4.88634023021766	4.76546219354465	4.91980980584284	4.97598758342198
RBM7	7.54485504236093	6.95883152255225	7.3834686162655	7.65507273556223
RECQL5	6.73581325694414	6.32146794452165	6.55632687966792	6.61402194472075
REXO2	10.855409827796	10.5813570809837	11.8340111734501	11.0892179061175
RIN2	4.99841740130559	5.53717800411386	5.11603238395256	4.80511567353236
RP2	7.75546929245387	8.19709759343537	7.09781911504978	7.68497679758486
RPA4	4.21806347006035	4.18762533633889	4.61222964078616	4.34016551928707
RPL30	10.4927078610053	10.7354627923457	10.1202900763166	10.6225977378894
RPL38	10.3186483810459	10.7222925780194	10.4420152173984	10.4946494199331
RWDD2A	5.01092880236451	4.98660696110713	5.7103926203872	5.2361506652798
SCGB1A1	4.86084446421469	4.77861047051107	5.1041094045549	4.91567098774275
SCN3B	4.62830537815611	4.52010331736167	4.75244372933648	4.63300028480097
SERPINF1	6.10894763674245	5.56961756630892	6.46585398936277	6.2949003237861
SLC29A2	5.8180941132162	5.60979972953221	6.09613050462956	5.84292886537321
SLC47A1	4.22717222023925	4.1518202685845	4.2415931424147	4.3433326137783
SLCO1A2	3.9934084632809	4.21101359091301	4.34870924892657	4.18507828449898
SNW1	10.0169461404733	10.5647957914088	10.2327066497874	10.1257503625344
SPOCK3	4.32950993070288	4.17569723598202	4.6324173326518	4.18228670745283
SPRR1A	5.63890260779425	5.07937315595716	5.28694707709881	5.15397094346101
STMN4	5.13496423647292	5.1724501083315	5.27757799213932	4.95467095013241
SULT2A1	4.22775444859037	4.20630197571147	4.40075759128514	4.07499777773914
SUPT7L	8.93963950910497	9.06415497411809	8.99555150611258	8.97586010652487
TACR3	4.32155875196497	4.16804650394218	4.41268756306177	4.29903020799967
TEX14	4.1442659990368	4.37127246431068	4.6569123365213	4.30960453808516
TLR6	4.82519501839331	4.97010492022891	4.89406095969245	4.88378974412127
TREH	4.64962360974672	4.60787234667648	4.77460322831318	4.56506743237692
TRRAP	8.88858899581358	8.13993339285602	6.82811201985599	8.7017228677212
UBE2S	6.50958251962272	6.72540056593129	6.26882027501378	6.53809748515724
VPS52	9.01257219842168	8.86883143373741	8.31849087905539	9.27662386938947
WNT5B	5.64086448805241	5.0430401458831	5.35466526663658	5.37132967013646
ZBTB39	7.28657293924944	7.26573758249719	6.97720726967234	7.61467787556826
ZNF230	5.68684268104094	5.91154933902022	5.18252020549056	5.96662866439492
ZNF324B	5.65224296262914	5.59064652941925	5.93312154205042	5.72398756704132
