Var1	CD34neg_CD71lo_GlyApos	CD34neg_CD71neg_GlyApos	CD34neg_CD71pos_GlyAneg	CD34neg_CD71pos_GlyApos	CD34pos_CD71pos_GlyAneg
AATK	5.81488029897261	5.96922721465122	5.83523659617227	5.77061964132971	5.685758517628
ADAM21	4.23125320480967	4.233213717531	4.24025519314604	4.32626947125055	4.13764090646414
ADAMDEC1	4.42617259442582	4.61776228149445	4.56551556639269	4.43394627718459	4.78914502777541
ADH7	4.24543958687102	4.27256527386371	4.13536699896412	4.18995515028509	4.10856203751749
ARHGAP17	7.210895760906	7.38629406478964	7.67929615946288	7.2392642970373	7.4162816166493
AURKC	5.64484724861566	5.46537175010948	5.50105131710341	5.49113948637234	5.52424666898207
C1orf95	6.03466306527296	6.0228945018734	6.00615326642023	5.98484739915813	6.06649641894329
C6orf10	4.31694878871029	4.28714010023384	4.24030225500065	4.13159933989432	4.2456214424308
CCDC30	4.80379262396972	4.82373983317926	4.76438708155459	4.78251929159859	4.64863267078913
CCNB1	9.02291697434881	9.13209886613153	8.98212214632269	9.68113938588579	8.08691891674375
CD244	6.33872338901017	6.82725190788219	7.15815569540359	6.20494093480606	7.60897508526904
CD38	4.92461768995748	5.34134627521057	5.35016999881068	5.08155493041372	5.17339447787645
CDK2AP2	6.7380698713176	6.81960850059605	6.68385619383587	6.37356324925208	6.65412005966397
CIC	6.9230093043481	7.04214579943215	6.85141944453008	7.1218981053541	6.67703847272108
CLCN5	6.58277239184192	6.80592602431914	6.66750732520779	6.81477095804401	6.46963691266925
CLDN1	4.34362166314258	4.32119315942444	4.35231948397427	4.29494187743449	4.29611291597361
CLDN8	4.0431010777797	4.10618099983384	3.95507321296644	4.08355657183381	4.02707728922159
CNOT8	8.70645025890073	9.36975449779735	9.00644297777301	8.76227179555008	9.19011487129295
CRCP	7.37984860133529	7.7697923613074	8.03291395735217	7.80704256524291	7.86203982911276
CROCC	6.09724387088372	5.87595002001215	5.60819933899865	5.70777698191265	5.82091884683413
CTSA	7.71637239281333	8.11401724461886	8.73031944678864	7.93646494341272	8.07355946206053
CYP1A1	4.3365903110467	4.48973494464306	4.23739691497279	4.28105771287987	4.33845783134465
CYP2R1	6.22577780477399	6.33188433037626	6.22607155193933	6.14916153317245	6.19379964696467
DBT	8.92007626257016	9.60094966488813	8.98093572138262	9.21388973703234	9.3572466479493
DDX23	7.24304442381343	7.13869928884167	7.71688498312644	7.29421034812956	7.07903157543015
DGCR5	5.44244484726097	5.58951068437112	5.3209680931172	5.42356704679215	5.34361415562553
DNAJB12	8.27659932636089	7.90432802915944	7.6051988565186	8.11381056265883	7.97593901235803
DOK3	6.56940261904084	6.52878310794449	6.5972683962138	6.49218254857027	6.45513196986351
DPP8	9.32726622000315	9.59313585958639	9.25399226269903	9.5490796839977	9.42982977343956
DRC3	4.8379094988296	4.88843843270892	4.78605728532382	4.83535073906197	4.83034090732159
DUS4L	6.56378390075388	6.31182597444768	6.55265150954981	6.18475265303778	7.20562650125149
ERCC4	6.41536025185075	6.62541866096728	6.31353206591576	6.43024917364917	6.36862660672272
ESR2	5.68855686944896	5.68583494186672	5.80205540522354	5.60637857071441	5.64439310208854
ETFA	9.41053978454495	9.61032831551653	9.53965752396312	9.86733031844927	9.27453768515428
EVPL	5.84939464943895	5.76930569501096	5.89083986651836	5.91391965572929	5.82505071482416
FARP2	6.22615075649402	6.09995599512022	6.20453825582082	6.27700128164511	6.21783375804333
FBXO24	5.53521466856138	5.33670123022133	5.25392856590108	5.29786025995234	5.25780508510619
FLJ13224	5.06906726418197	5.05743911014553	5.0400663270033	5.03776732337289	4.99924091677698
FOXN3-AS2	4.26973049201182	4.34551733956578	4.29254574749838	4.37019900558348	4.18262524403684
FUT1	7.72584771005463	8.34276566180551	7.49117573922285	7.68443726829469	6.20601831466453
GFOD1	5.81489375701259	5.77582370221076	6.39580266155596	5.99866658916855	5.99771734689894
GINS2	7.82862685726655	7.71955433132802	7.8458050444343	7.73978031292975	8.09771549733954
