	CFU_E_1	CFU_E_2	CFU_E_3	Pro_E_1	Pro_E_2	Pro_E_3	Int_E_1	Int_E_2	Int_E_3	Late_E_1	Late_E_2	Late_E_3
A1CF	1.00136173430165	0.969094485391698	0.950177788971933	0.999010334603523	0.944633796991503	0.96278394667808	0.960349523728997	0.992640846876018	0.979674971927568	0.994571651805791	0.924325056626256	0.92249888300634
A4GALT	1.13508427294976	1.29311779375839	1.49600285483217	1.67273692903745	1.56501418425134	1.63410805692559	1.42083967096124	1.51647135759228	1.48343272494085	1.42742635047034	1.33939529912225	1.44080204388053
A4GNT	0.940828245092505	0.989701628405967	0.950144492074692	1.02339403906666	0.950542282155667	0.96044226476793	0.904959130901057	0.922020451541054	0.920669877653361	0.928898342143708	0.924732967769428	0.895257962957132
AAAS	1.66126941967406	1.49877256495503	2.0179337926009	2.03043477287572	1.49412262212643	1.954913443848	1.39818935879803	1.41822397610966	1.85850275377583	1.30502471492909	1.21713585260948	1.23695824178884
AACS	1.54180314137217	1.69326621320628	1.72138602688249	1.49477116447619	1.56893975929058	1.69563057694941	1.48072392467862	1.40647302279438	1.64589059589777	1.43954138411267	1.23957379047061	1.30965475681315
AADAC	0.936234279762907	0.951281759656678	0.916104347534019	0.960691145715006	0.96885915731671	0.991656554848484	1.02705611585669	0.985901122210047	0.951351266812449	0.958834222129992	1.09739335923557	1.01942148730889
AAGAB	1.85312044755839	2.61073047931935	2.75032978770252	1.77329203450093	2.82955648861814	2.29848091731502	2.43260197110679	2.42909018883572	1.99658794945098	1.20297287248885	1.44371726843199	1.24608916365628
AAK1	1.54458500539556	1.7474950741277	1.78479161392332	1.51764822271084	1.58063636345792	1.67627599344961	1.5116337230081	1.38264075836823	1.53008667434879	1.86908590610903	2.13928269552962	1.91837207750638
AAMDC	1.28376116983138	1.45034610070959	1.4940550188173	1.31266840027957	1.62970740101569	1.47481220915161	1.20118514404597	1.23431829361663	1.30782039781194	1.1160999393822	1.04373121756963	1.17311618530537
AAMP	1.46849925130242	1.56208532387465	1.74037456103932	1.50568367401473	1.43834110639304	1.57284617647717	1.30438308414746	1.29997416332005	1.39645189696009	1.54779490155741	1.65415685215807	1.7690311531697
AANAT	0.828694626062005	0.878657734912295	0.80400078548396	0.852623763160156	0.855559790063359	0.818025403698832	0.868209071228186	0.865846314324625	0.887010937192084	0.91423173840985	0.924304096792753	0.853350027570128
AAR2	1.86665844584053	1.866310376372	1.90644158395325	1.78612888371338	1.7110672831258	1.84765365561648	1.41871715493111	1.37351049995626	1.53914160787064	1.19786012968414	1.03924494807693	1.11843032916872
AARS	2.88148788611895	2.47360007043005	2.80209540990815	2.93623976770997	2.60112217488142	2.9438259914917	2.9649926360769	3.56516396578804	4.17882565874028	5.08378772076732	4.42064506866605	4.10265571352614
AASDHPPT	4.15230652765526	4.54322859560002	4.20278822927964	4.29542609934977	4.26896900184352	4.25053967695709	3.68505642873275	3.69658492312792	3.32616199807242	1.68642293095766	1.59449658632279	1.68169751820964
AASS	1.14969337135375	1.27642322053879	1.16671790349767	1.2579962023619	1.33295658952031	1.26623978686926	1.60798163635409	1.46179075521895	1.32022887518507	1.62924045464124	2.02949303365379	2.02944755906427
AATF	3.12736091567067	3.15236560109349	3.45110971789424	3.04233581128236	2.9409551056849	3.16612490131102	2.40747943432296	2.38952693774077	2.64696912516028	2.05805253931108	2.10188970830094	2.08644302655132
AATK	1.04396352891399	0.988991342527859	1.08883341617676	1.07596367510295	1.04890985626756	1.02470944992093	1.09583780362068	1.04336612706109	1.0515322323685	1.09004804359814	1.03603138237888	1.07673002582969
ABAT	1.06770157183962	1.26289898270212	1.1915321160677	1.05149761816619	1.10389383715364	1.14537494380432	1.42398649720213	1.48796456916928	1.66593121967075	1.2321194475938	1.09219666977944	1.2203584968324
ABCA1	1.14331055437654	1.00284082710698	1.15737103375404	1.00854897852444	0.952924110663581	1.00988431754321	1.47424303445086	0.987246969171577	1.031853382246	1.17445460562188	1.09578622231293	1.03298612610216
ABCA11P	1.00387403581036	1.13058383728423	1.10353967316823	1.03641823762687	1.13899469657833	1.15585888627865	0.976436103243888	1.00429526965483	0.949938348777356	0.874383760666845	0.925020318080268	0.893859919688616
ABCA12	1.05167608232632	1.00366630108749	0.981106569142846	0.972433104554372	0.984024202216764	0.985203206769972	1.00460094170026	0.923729471648346	0.92819196690958	0.97028482711991	0.926264606939631	0.957723523462504
ABCA2	1.01042660038932	1.04262948251948	1.15075699380247	1.09405338610612	1.07680613835239	1.16160505839828	1.06551689387114	1.11937179272816	1.09485183572668	1.15389035464819	1.06125681761389	1.12680341455544
ABCA3	0.973255638893743	1.00189599524184	0.975596792705967	1.04133153224549	0.97343989371367	1.02071641131529	0.976727204817505	1.00325916025553	1.01795068083039	1.13358660087353	1.03467770531613	0.964906130062138
ABCA4	0.956699926762465	0.945446616505982	0.940241182487713	1.04221640407251	0.893546277773776	0.991678220534974	0.993627155942626	0.92973332759778	1.01882285115499	1.04084235906272	0.908484446875012	1.0560663537682
ABCA5	1.16796553468173	1.44781028927475	1.23135719600754	1.19103551292391	1.41658475140429	1.23308253604647	1.59692845734766	1.69913554348816	1.44300590055379	1.29309421157052	1.04504843009577	1.08865036524643
ABCA6	0.883883762242758	0.934404111104027	0.916452534250711	0.950941224802528	0.969674574975951	0.918896286915954	0.963973211222563	0.931632044794273	0.906710930165912	0.927393300499203	0.984585630758112	0.941009417020808
ABCA7	1.23274515866679	1.25529228198046	1.26424069377521	1.33064896129609	1.29800937460548	1.43793280223477	1.70143877961633	1.60244524333166	1.76826081910478	1.4611587894276	1.03631592612232	1.18619420809689
ABCA8	1.07484824987877	0.980831133393655	1.01381669473347	1.03286690599481	1.00606139983389	0.974793395315736	0.957057627418195	0.943044970361246	0.95903088555542	1.03448363142725	1.13073557995688	1.11018937444361
ABCB1	1.00653317566054	1.00159340912414	0.965079057495037	0.960359381749228	0.954054710728747	1.02218008240713	0.919865177606698	0.949642506663445	0.970441705533178	1.03313175485112	0.978795256552792	1.067846228895
ABCB11	1.07717277591948	0.987134284657678	0.949202183167212	0.997566947196619	0.951658125248231	0.922660496178441	0.933423128349711	0.989766567775951	0.953453527382642	0.971584009529988	0.964814863815732	0.964722519196854
ABCB4	0.998675465868497	1.01811033724792	0.968854376346501	1.04011139096316	1.20213156807568	1.16049967350016	1.79879241576678	1.34917496689688	1.29914101124536	1.03872579833625	0.961130202064818	0.952363005644748
ABCB7	2.22150433410363	2.40484506710093	2.4796591170156	2.62818395177499	2.97370605554771	2.68336718815598	3.19416630247691	3.63120370219346	3.38351544495642	2.57297841003662	1.53855804211284	1.88826623826334
ABCB9	1.18244010285269	1.06580184223997	1.1498560674343	1.10598414487386	1.14330987057493	1.16206723523667	1.2502816927068	1.30115791998864	1.27996593432328	1.21975944590685	1.34246084339938	1.43963199765544
ABCC1	3.82540170011438	4.01188380402058	5.03621994692126	2.63242883819745	3.22418476408904	4.10447334480399	2.39260164701962	2.03989152189783	2.72026314588657	3.30242619624644	6.53016942652322	6.12486112987379
ABCC10	1.44796045335961	1.65421355541286	1.63233078943372	1.41661727792888	1.53246320018445	1.66454174332948	1.31686834600731	1.29738067242908	1.2918119277207	1.05045969020505	1.01839628585732	1.06017207713026
ABCC2	0.970398007865269	1.01819892754801	0.990498673881636	1.01203822121389	1.02118717887272	0.990811473244284	0.94806006679301	1.06219297429227	1.01159498847213	1.06428448786311	1.21927817814303	0.99181404950835
ABCC3	0.965866341146607	1.00899489915395	0.97713961389618	1.08022124742115	1.01166544103618	1.11636206265383	1.19190871095538	1.17187198315023	1.06256794046817	0.98818236871734	1.163358401764	1.06048064744778
ABCC4	3.69037515341614	6.81982538332662	6.4005970860753	4.04423182128709	5.65545921150891	5.99141281873048	5.49030898483973	6.06063564729924	6.87569779668472	5.7256404044275	4.27722849630506	4.67174221944903
ABCC5	1.84842359655465	2.20376515944609	1.982945541065	2.01065065531525	2.33029251816542	2.56997361776524	3.12851823501847	3.2610966312866	3.23539385162554	1.7452720549302	1.47641173958549	1.69572789171239
ABCC6	1.02778410755461	0.966663289034753	0.946448942092919	0.949041963095097	0.986284098656689	0.995133922527995	0.982889120278458	1.01194971047044	0.979737176355264	0.969514319836621	1.06586125587807	0.944867419681141
ABCC8	1.19852620651455	1.08270350370935	0.992479848996157	1.04033183444538	1.0310071422297	1.06194269518588	0.964276592225473	0.974306014665603	1.08212300975267	0.956708130680761	1.12155577398957	1.07881446781365
ABCC9	1.04107056863406	0.994849557263816	0.943947042827088	0.951489236994248	0.936524669810842	0.969123205810662	0.937327802595852	0.948957216576186	0.966465333172246	1.03837034162451	0.962565290563973	0.957503268220181
ABCD1	1.04737198947081	1.03876453529675	1.00323253858023	0.981750201198267	1.01555833183375	1.05633949057961	1.04319750564758	1.01462276189383	0.91361122432627	1.0156702210748	1.03639972202616	0.986010706723579
ABCD2	0.985730781233006	0.983236266091912	0.928717830009236	0.949062051047411	0.963627685013827	0.939173104328081	0.949870494360901	0.945901987375596	0.955627375789243	0.960764587003485	0.920237447283765	0.848062223901513
ABCD3	2.76271750137139	3.34426665109364	3.01605979630568	2.85437929103859	3.11196062047646	2.97026579395573	2.59428010145851	2.62216602611139	2.27487019408508	1.63898170994512	1.25746737732429	1.33014329883212
ABCD4	1.3248955675335	1.35763888730813	1.36900593826903	1.33685707662893	1.29221600566413	1.33237201692774	1.15470994010593	1.19351724129829	1.14911625351275	1.11754474933364	1.03915243572475	1.10102980615861
ABCE1	6.15082414783659	7.69021178306927	7.57818178500464	7.33803040233883	7.54565606770637	6.53015074537525	4.33172740229772	5.26319742187261	3.28012201882705	2.53736750121506	3.94983561386243	3.52408326985289
ABCF1	2.88667886390439	2.66566279956639	3.08935664911025	2.79361766996173	2.34120938544181	2.87258595865532	2.03399021363977	2.01909774641071	2.34254819195594	2.11692965049224	2.87436685080435	2.64955146556709
ABCF2	2.29950741229944	2.3164681668512	2.51110015856106	2.33508342411652	2.10854994563366	2.48007775769818	1.61518357776721	1.56260825587699	1.70116145558083	1.50143802042628	1.7733204110766	1.72995632523025
ABCF3	1.56902371739023	1.48556751158159	1.6214625469727	1.39333634603066	1.45651877806698	1.62290213504076	1.35541428351176	1.25918852452514	1.39467273330236	1.18843113019026	1.40108498815727	1.48142377127705
ABCG1	1.05340998401449	1.05029348956293	1.12698317875659	1.07174328673044	1.16525789407244	1.07291458606812	1.17251204602302	1.0671374171806	1.0377628761306	1.1321694591052	1.11603539796885	1.15632271737204
ABCG2	1.29751378339482	1.78078538219363	1.6663299508204	1.64188606750475	1.73661174537953	1.98995064141545	2.47753160098257	2.60659825725479	3.99220056288257	9.14867984159655	4.28623103418056	5.22998626414398
ABCG4	0.948966719004404	1.00457539559337	1.03883985632046	1.00598988708939	1.01895302171365	1.04112337958401	1.01715077828419	1.01653330738978	1.00159481361878	1.03310331965614	1.08644948635231	1.09560565982496
ABCG5	0.989879810485075	0.96782792473092	0.892534472419808	0.969230607129592	0.944587221656905	0.941484677856434	0.959865438728002	0.91994151888381	0.968591460497221	0.958967736160815	0.94627800238067	0.89903315089632
ABHD10	2.62751209159252	3.08110856600212	2.79974484327588	2.5516849763253	3.29184464314793	2.81625990363268	2.85108338479813	3.06660536132051	2.99058180674218	1.60450428212982	1.03855478695594	1.20184086723113
ABHD11	1.35594060926611	1.65207029519163	1.68476926454053	1.58329982983949	1.59543650157474	1.60367228037973	1.31492656208813	1.30584044472346	1.20693728722837	1.12041044046235	1.19312390832021	1.1912370522028
ABHD17A	2.78337618945643	1.88725217720648	2.21655789972324	2.83747422036524	1.80609313354058	2.54335339016983	1.73447775440423	1.61310433354244	2.54697170328661	2.1476133464304	1.68503838149837	2.44327279950161
ABHD17B	1.84010376696463	2.39697314174987	2.06327960943634	1.70823680653447	2.24299562540641	1.90914271516126	1.84093858710101	1.86227561565013	1.58131687838938	1.28335275874155	1.50381081727066	1.39027251929645
ABHD18	1.78899925736376	2.05825239365813	2.06947895313851	1.64735466862095	2.19694305237338	2.18578657546148	2.61860023416523	2.70631400821618	2.7679018941572	1.80598644726364	1.55640288525806	1.67803276313361
ABHD2	2.87997602634865	3.08246883458789	3.46181321995146	3.04797473011019	3.36034105805699	3.17153947662376	3.8586802020461	3.92019309208943	3.04760609855042	1.94159984741228	1.42039109367044	1.57423920352768
ABHD3	1.19683152664097	1.371321213579	1.36717802222682	1.2021838435476	1.28302477090677	1.41356640049633	1.76511702714619	1.80370710678583	1.83181467985476	1.56952634796788	1.34696390437318	1.46273029996706
ABHD4	1.22293991472137	1.21936632211136	1.3199998896603	1.3199540480796	1.20757926555568	1.30585925841925	1.36685005650118	1.33877014441276	1.62497113771999	2.10265483975216	2.04083603353227	2.04565840769316
ABHD5	1.73296278061907	1.86283548195102	1.80161368747949	2.00283557827633	1.78288595235169	1.92559610220553	2.28038413398242	2.23966036781873	2.61484919951883	3.46922776633037	6.17143881546933	5.25078873619386
ABHD6	1.16785532418426	1.30816004657273	1.32370032869639	1.07028884797105	1.05466901030692	1.0668305501059	1.07042891684234	1.04666273890183	1.12236241165631	1.2550616019937	1.16740347221089	1.21903974872808
ABHD8	1.14480158664006	0.989038653968008	1.13254240028068	1.12561295941921	0.995339269205779	1.02483458257347	1.10092893356905	1.11005160129946	1.18399906402367	1.23675743402642	1.15110860502094	1.0932461056199
ABI1	1.9943133160523	3.63821951643531	3.03650321241366	2.47502233979092	3.58607116841942	2.97265208255489	3.95194844844027	3.94534450173152	3.48836866879286	2.58728648218946	3.329966705939	2.74991255658613
ABI2	1.50513360332427	1.83729435630945	1.73012604803544	1.56886975734136	1.7328918388632	1.68869251661567	2.41522804955025	2.43242385702771	2.23548240936517	1.77024416141955	1.31971382345922	1.43401666388232
ABI3BP	0.987102566467352	0.972976216947701	0.950282039025187	1.01361067415013	1.00167644670915	0.93040762954739	0.961646702513523	0.939487766403348	1.02769275048515	1.03416407999552	1.11409884314477	1.10657172836498
ABL1	2.39421627014616	2.18616084072268	2.44077425613621	2.48309953123511	2.15339306941447	2.56436970196593	2.02796708183261	2.08643452757271	2.33797741564347	1.54974546174219	1.2497229625553	1.34894564239313
ABL2	1.28484189157685	1.46977070181589	1.38455315270173	1.28961831406523	1.38942360691282	1.35564499327979	1.17127887902312	1.10420147225797	1.04241613013694	0.983636402765653	0.980910318645602	0.982982920402745
ABLIM1	2.00984653874776	2.68286521797845	2.38117378862791	1.59120317913611	1.63282766932937	2.18499493403217	1.42475185437911	1.32307688924337	1.44821976027636	1.72598807768912	1.37909110049098	1.78985500427134
ABLIM3	1.00784234193568	1.00056779859034	1.09082828763623	0.965607927308597	0.946873133017924	1.01746748274785	1.08541641791896	0.966958318018983	1.04750202514254	1.02204495683942	0.925671936497079	0.99158898004938
ABO	1.60825448723453	1.60577954463887	1.65982171767174	1.47911177436039	1.61585571477815	1.79337349901102	1.91054163177957	1.64007491021799	1.58217003389603	1.73932727091852	1.78180312754557	1.86176628161719
ABR	1.1831717084417	1.19420045661429	1.35310100625351	1.07854201293718	1.08131409741826	1.11156837390204	1.18765447418122	1.12724114565	1.09700830641209	1.14055775328575	1.16734680220171	1.20527622182959
ABT1	1.36262455790857	1.56538646029645	1.83024921133867	1.44749542753238	1.57286780282684	1.68491661881953	1.20616154480869	1.2160305935846	1.34905836107067	1.17084108379732	1.24100761443436	1.37671554229045
