Var1	Day10	Day14	Day7
ACOT9	1.93218522296713	1.69964996811183	2.03611545155591
ACTN1	3.1225033761711	2.24078251250245	2.11606577659435
ACVR1B	1.42604394863026	1.24794395423312	1.2721487802504
ADH5	2.98416059207868	2.8589187304248	2.28863109998631
AK2	2.7916617559658	2.49816948965475	2.3377711240552
ALDH3A2	1.82034457438873	1.69696842333929	1.48307292231528
ALG8	2.54563179222694	2.43109595246975	2.1681429286045
ALOX5AP	2.37584163280305	1.71641216293591	1.2973994082384
ANKRA2	1.94386693493387	1.76039725363607	1.96427586245147
ANKRD28	2.04911726391962	2.05901455318891	1.75795535774228
ANKRD46	1.37520376427111	1.29733733116304	1.48644249602991
ANKS1A	1.51055989486138	1.36309602993552	1.41824720162385
ANXA1	3.60272772812976	2.6027831552427	1.87823629615789
ANXA11	2.10273627279617	1.91671309141311	1.56263612168123
ANXA4	2.33802839249173	1.92873333262569	2.17640708328082
APLP2	4.19497208943227	4.05757458836676	4.91802465287315
APMAP	3.44417300352601	2.86757418839351	2.41760172083747
APPL2	1.28632663228733	1.26641036933366	1.43218248403741
ARHGEF12	4.055477226145	3.64666651091632	8.76819643061005
ATIC	3.82094216547109	3.74485622804834	3.17417760468782
ATR	1.90401833436462	1.79307928780779	1.78246268500608
BCL2L1	3.31519933624192	3.49344745183278	3.70293719742111
BCL7A	1.37466221288801	1.41501838372513	1.47733464491603
BEX3	2.98269922851536	2.73580467478244	2.31592112121961
BLMH	2.19295453396375	2.08806805548165	1.90289870238197
BSDC1	2.39125848215291	2.46372386785462	3.11126007711201
C21orf59	2.46484969190718	2.21608617259158	2.15250558991601
CAMK2A	1.11381830807911	1.16434856666015	1.11030702449229
CAP1	4.99182940235595	4.27018800746576	4.05406033122945
CASP7	1.40563549969287	1.30314002019888	1.29272163493959
CBFB	2.94194742129078	2.24316632460823	3.35844932792373
CCND2	3.28509589624503	3.03153152419546	3.44630304797038
CD160	1.06631118503119	1.05379051804361	1.15815798334851
CD63	4.72345849409743	3.9388294804258	2.6884203576322
CD83	1.47136587555142	1.43792013103904	1.57778330441306
CDC123	3.5058073807837	2.9870636725603	2.43191715275384
CHCHD7	1.5347096248267	1.39713346439907	1.30842464127145
CHD3	1.51313416215454	1.4993349527412	1.37402275100809
CISD1	1.73526664553092	1.6434294524669	1.52305162101706
CLCN3	5.64361756015867	5.43081778634136	10.1804206748384
CLNS1A	4.00975344687238	3.78629534147871	3.35599561938096
CNDP2	2.50906759153093	2.22089659276375	1.98043143439816
CNOT7	3.41702384928436	3.21129302406601	3.37018200433487
CNPY2	3.35549654238365	3.38616995895552	2.55045915193531
CPA3	1.98907787757094	2.00299695594813	1.84984015391182
CPNE3	2.7485886641735	2.00015746045028	2.61231961185846
CPSF6	3.09960705862143	2.88776103511054	3.21856306390226
CRP	0.951618380002545	0.979682495301705	1.0022599548443
CSF2RB	3.23563919518152	2.24852918579195	3.74451927939719
CTNNBL1	2.219655814635	1.93476288602436	1.81254795803454
CTSC	3.41421392119039	2.40879768078947	2.00795156499354
CTSK	1.13755297759018	1.04112493173706	1.10269592428158
CUL1	2.15446641983067	2.01718649731717	2.06330143585228
CYB5B	1.9782542980105	1.7965017679659	1.9474615377418
CYFIP1	2.21300166429303	1.71306563528841	1.47563979146177
DAPK1	2.74811061059367	2.64367360916206	3.80215870979178
DBI	3.01930764470577	2.58838123819088	2.20108388721337
