	CFU_E_1	CFU_E_2	CFU_E_3	Pro_E_1	Pro_E_2	Pro_E_3	Int_E_1	Int_E_2	Int_E_3	Late_E_1	Late_E_2	Late_E_3
A1CF	1.01513335413098	0.995331875107629	0.983601014305218	1.01369904385754	0.980145410893633	0.99142873355471	0.989920290658181	1.0098069992289	1.00185337335211	1.01098785685249	0.967417218695058	0.966267256921288
A4GALT	1.0505648577665	1.1407437486779	1.2507669210328	1.34219262446647	1.2869165890179	1.32252601878545	1.2106885620112	1.26155165539371	1.24411686012604	1.21423140452237	1.16636869913235	1.22140745276374
A4GNT	0.853648463689143	0.889550827084949	0.860518495786574	0.914108352179359	0.86081155560867	0.868097729118715	0.827077752445139	0.839740272357579	0.838739510223258	0.844832491454367	0.8417493951184	0.819857939643475
AAAS	1.63390938030037	1.43887974729804	2.07745892275394	2.09336274900871	1.43336920042824	1.99763841196504	1.32059357416086	1.34399964050471	1.87669664987371	1.21279835255393	1.11274978599768	1.1351709170751
AACS	1.89417348448022	2.1815733812187	2.23641854841125	1.80774596016576	1.94465545788196	2.18616718747435	1.782196885924	1.64920207834777	2.09021452623875	1.70800361027626	1.36324336248049	1.48108302798607
AADAC	0.920720499671185	0.931616512908514	0.906072130575917	0.938406962268228	0.944287425729406	0.960631892414647	0.9858177725231	0.956514947481164	0.93166673833946	0.937068266546553	1.03519778741052	0.980405433950628
AAGAB	1.57896166562112	2.17254099441505	2.28050562355576	1.51553694889529	2.34160960180949	1.92957014415844	2.03419587633872	2.03146155515123	1.6924811522249	1.05599006955853	1.25148154229719	1.09118611535639
AAK1	2.04708683820449	2.42032041375725	2.49068005225003	1.99879586845048	2.1121892369192	2.28745578923354	1.98805488830586	1.76142851538323	2.02105723871034	2.65163053222875	3.18479435144329	2.74695205924559
AAMDC	1.88859454564696	2.17507935980542	2.25113653661479	1.93790866588075	2.48938383625939	2.2176086175922	1.74869824011604	1.80465448412899	1.9296261941378	1.60612965580349	1.48620520804385	1.70148421567846
AAMP	1.95031040775001	2.15029806263164	2.5507271430301	2.02891255754036	1.88740192833422	2.17375024479542	1.61725958142737	1.6086306433224	1.80128627525083	2.11929816360273	2.35395465575605	2.61740579967353
AANAT	0.73113710409672	0.793499738221215	0.700857967819936	0.760823434942419	0.764488941408811	0.718009974540531	0.780338215530992	0.77737070522421	0.804066690068143	0.838775772987373	0.851724295748303	0.761729678524282
AAR2	2.31249347607694	2.31199055196226	2.3700781560666	2.1965574674515	2.08927311067359	2.28505642811419	1.67914468103921	1.61690614293767	1.84653131180541	1.37839486932013	1.16794890230614	1.27238873810934
AARS	6.29343227874285	5.0909000060413	6.05382634204432	6.4601812539839	5.45914659250851	6.48338153592858	6.54823664027267	8.45952641496858	10.5480625437679	13.8499507618137	11.4055240363282	10.2818988147522
AASDHPPT	5.64892919091679	6.16922658292404	5.71617298573897	5.83952717377642	5.80430327050574	5.77976454274464	5.02569777337561	5.04109373385835	4.54588836068234	2.33755047525747	2.21270273315154	2.33113626889851
AASS	1.03606978119324	1.14977493941415	1.05134752382893	1.13324479548956	1.20048264091563	1.14063991033811	1.44704558000639	1.31600782536054	1.18906728972499	1.46609662007241	1.82460249854405	1.82456178491289
AATF	4.06946229439471	4.11437928610743	4.66128841307483	3.91774728689747	3.73893664820451	4.13915334202389	2.83745959519775	2.80833548319821	3.23370809230595	2.28587400270607	2.3532572976935	2.32945250824941
AATK	1.08520717398806	1.02344648065003	1.13581971778582	1.12128477325988	1.09077782103714	1.06354386370888	1.14373641606413	1.08453451718243	1.09373207774906	1.13719224567725	1.07627842888059	1.12214987809787
ABAT	1.09769278331257	1.26059806403187	1.20158998397328	1.08394477641423	1.12826820898664	1.1630958518149	1.391699440695	1.44303124266732	1.58384298226126	1.23522260233662	1.11840593451378	1.22549724043197
ABCA1	1.08797196301742	0.982541200707123	1.09836119661281	0.986886915853868	0.944299786248876	0.987902742094925	1.32575003407144	0.970641143146997	1.00457262810669	1.1109464887858	1.05264315716368	1.00542998861384
ABCA11P	1.19134999995948	1.4742735750717	1.41165818756011	1.26146984632057	1.49399185669209	1.53387650461988	1.13361376817084	1.19224625413451	1.07906294779658	0.930092804972322	1.02885248859814	0.967556786232824
ABCA12	0.965099140285934	0.926646084219991	0.908495081437017	0.901502259198195	0.910845562741005	0.91179512658297	0.92739692255861	0.862082958584372	0.865705801818331	0.899769000991642	0.864141367174817	0.889624361865153
ABCA2	0.960986665591236	0.978262299374146	1.03464765200914	1.00537839529609	0.996346455951045	1.04017557582157	0.990400692825472	1.01852630693573	1.00579502713527	1.03624664443078	0.988149949276355	1.02236110458839
ABCA3	0.989079840332231	1.00998292780897	0.990794903928329	1.03849439046241	0.989214861927329	1.02362819042656	0.991622601111479	1.01097364313513	1.02162739502866	1.10404747965081	1.03370515788715	0.982953826952571
ABCA4	1.01365440829586	1.00318599163465	0.998338464033366	1.0927268569292	0.954704380052335	1.04609755886599	1.04790106877464	0.988543036870779	1.07117799403514	1.09146281412138	0.968693116818824	1.10545665643102
ABCA5	1.13745696450907	1.47581633209468	1.21273272215711	1.16475390001076	1.43731416980056	1.21479324104326	1.66207269871102	1.79190902855354	1.46988077057667	1.28683983969935	0.993990902173037	1.04449280421411
ABCA6	0.893373167431593	0.925964148326408	0.914456935293671	0.93649533518592	0.948346830969861	0.916028094290096	0.944748593717624	0.924192378125576	0.908178920061824	0.921479551567658	0.957722121027442	0.930178428919678
ABCA7	1.32250966690323	1.35682737554737	1.37051830228381	1.47336466747558	1.42254385006457	1.64401966072796	2.08543139331142	1.91602154294127	2.20212655507355	1.68167739870747	1.03479496700011	1.25247810398331
ABCA8	0.990290866828527	0.938368467013632	0.956809407816973	0.967347142234661	0.95249620816764	0.934965525635849	0.924918908305608	0.916926982610942	0.926040448587795	0.968237744894343	1.0202698802694	1.00932098428877
ABCB1	1.12456907644563	1.11975702456077	1.08409105834856	1.07946852146102	1.07328905692912	1.13979151664795	1.03968614436815	1.06896135909048	1.08933981394786	1.15042828417857	1.09750854489288	1.18404979128893
ABCB11	0.988738721325943	0.938352186232918	0.916576559307087	0.944282126231694	0.917996875107851	0.901131870573563	0.907415865125009	0.939850739317827	0.919034259353127	0.92946655226605	0.92558078382524	0.925527698801931
ABCB4	0.996818209121577	1.02323338832967	0.95664287708007	1.05335430576124	1.2820120657055	1.22213873693077	2.21516914270411	1.4993395569409	1.42438996587855	1.05145056684435	0.94630802244458	0.934613501228981
ABCB7	2.34782286383192	2.59378958854616	2.69557014271242	2.89995574802949	3.38677303259581	2.97666058882879	3.70517222924706	4.35291018313377	3.98319069113609	2.8236319721762	1.47989868830249	1.91419227436699
ABCB9	1.38853333118633	1.25966716135653	1.35261629891378	1.30415640534334	1.34539292193453	1.3660838522566	1.46311925489807	1.51888767142734	1.4956746655784	1.42959465613416	1.56406243067166	1.67000719688791
ABCC1	2.85607800407437	2.93414046175914	3.33755914302719	2.311060302346	2.59239662129908	2.97231383453218	2.1893148772842	2.00017838707144	2.35443498074106	2.62785137232376	3.86673435472973	3.72888445962926
ABCC10	1.7565844637442	2.16787113522391	2.12274171245501	1.69689459583031	1.92124825113475	2.1892920471965	1.51203148852568	1.47683535888915	1.46683378668313	1.05800631113951	1.00744371189319	1.0735010077701
ABCC2	0.881015781813841	0.907641224688481	0.89227149228031	0.904236811848193	0.909289709595123	0.892445958587249	0.868402580969012	0.931728429082644	0.903991577090359	0.932863995667635	1.01479623908158	0.893005012095858
ABCC3	1.09899909463108	1.12666131528485	1.10628017573812	1.17125343674432	1.12835725130534	1.19339439084487	1.23870158277252	1.22680871563311	1.1603225363418	1.11337735666751	1.22172894918973	1.15902493139069
ABCC4	4.42530142959851	6.32842037696874	6.09882299077938	4.66773288659377	5.67460334789171	5.86858745549275	5.57748218785039	5.90798791718678	6.35856915013861	5.7155161387671	4.82254131803129	5.07685782196021
ABCC5	2.92892539030351	3.6269126246498	3.1900373522831	3.24429878967796	3.88159096878967	4.37215393924081	5.5529136651229	5.84026165738712	5.78435366774765	2.7314478986802	2.22880373048053	2.63748071599021
ABCC6	0.915102763902192	0.883683194727344	0.873104991460286	0.874467320430253	0.893860171355325	0.898421896906634	0.892105528142576	0.907041945905277	0.890474158417132	0.885167456212369	0.934270933134006	0.872273298293289
ABCC8	1.11917618336853	1.05036003941698	0.994816608619577	1.02450093901682	1.01875740401463	1.03773831462049	0.977069259756069	0.983402492352015	1.0500083648508	0.972273646153368	1.07373908726244	1.04800263110001
ABCC9	1.03739512124927	1.00055202223044	0.959570882306047	0.965670910722478	0.953558061545518	0.979894785345502	0.954209141861816	0.96362414784838	0.977754294928463	1.03525205113685	0.974611262929928	0.970527922472153
ABCD1	1.00523600203081	1.00048676859707	0.980701650598604	0.96859474887398	0.987598288290989	1.01016623827031	1.00293478186425	0.98707606534183	0.929425175415598	0.987660729679961	0.999179030166698	0.97100476691068
ABCD2	0.923906441558133	0.922417541837947	0.889525546583526	0.901879615400527	0.910665558784182	0.895886684678422	0.902368544656341	0.89996702211734	0.905845821117237	0.908942380047434	0.884346820643066	0.839545014016999
ABCD3	4.99365898423149	6.6614701161337	5.70029953579523	5.24568331301194	5.97591405673912	5.57024499730787	4.5415850153729	4.6154267634731	3.72505336685076	2.27169251879857	1.52319738233805	1.65792916612013
ABCD4	1.6493608681058	1.72069311823414	1.74575501040215	1.67527107916177	1.57944660456566	1.66553581150817	1.29946630114432	1.37613722258924	1.28856867733322	1.22779156005573	1.08229785325815	1.19649576369497
ABCE1	5.51579722688391	6.49953125754096	6.42982736141204	6.27947815831078	6.40953912590094	5.7637374350129	4.26311799099769	4.91901558732932	3.47529446890142	2.8778151010236	3.98361454518563	3.66339192395316
