	Ery_C1_cells	Ery_C2_cells	Ery_C3_cells	Ery_C4_cells	Ery_C5_cells	Ery_C6_cells	Ery_D1_cells	Ery_D2_cells	Ery_D3_cells
A1CF	1.07641733918843	0.9820812083448	1.00365782867044	1.01699412302878	1.01906902649467	1.09747778880966	1.07175592536374	1.08466281289092	1.14886111594107
A4GALT	0.944966817061185	0.914353670232397	0.945810364596064	0.917422824414048	0.936727739253912	0.931800962351336	0.940807557469103	1.01000188190701	0.925353788642831
A4GNT	0.941764598287949	0.972214602054403	0.998546810244394	1.0211548779854	0.969775822280974	1.03098188064659	0.953732727106803	0.992493331024894	0.980781508010889
AAAS	1.23281893397373	1.15538936387604	1.16864062553728	1.20314375957112	1.04823041598527	1.12696194781649	1.24937030217322	1.24857421828306	1.11047213354305
AACS	1.64718622979916	1.51486088170765	1.50168485228494	1.44940909265594	1.43438820604462	1.5487295209564	1.58742822845159	1.47143931434595	1.58893045817292
AADAC	0.909108073660041	0.914239382597855	0.948777199637174	0.970803113889789	0.915779901463751	0.899874441058226	0.873112374812715	0.918576031999692	0.903592392056678
AAGAB	1.88869606997222	1.73341585086173	1.99536474700981	1.99999669292052	1.57719880351598	1.83742122176433	1.9107635617525	2.0751433682465	1.81698093678799
AAK1	1.15974476536826	1.2532094660851	1.30865414486056	1.22703097425449	1.28959938810704	1.20369209360715	1.18690882873672	1.17054815515183	1.19633629445295
AAMDC	2.46818150291368	2.50861120524351	2.61297231667228	2.56521341835232	2.22225978923339	2.20018393319551	2.12571165097544	2.12419394186555	2.14809723270617
AAMP	1.55973585340951	1.60282141804638	1.59970085258206	1.58885850900264	1.55419276643506	1.63212438877553	1.78031959015522	1.86190582637468	1.71143415632558
AANAT	0.878439340364647	0.794438456634867	0.824499967679879	0.802812865034243	0.851938113376939	0.911944931858654	0.896601555036515	0.828717680204782	0.880755059377709
AAR2	1.51075139409641	1.69391504390451	1.64679229202616	1.86705254027279	1.46741617095621	1.4887905077883	1.79223596493586	1.54910155995312	1.6738263038576
AARS	2.61553201846262	2.14226657341236	2.32798116985699	2.42437572692297	2.00529468320279	2.39946080639557	2.53130548349498	2.68497196083256	2.29568341416064
