	DBA_A	DBA_B	DBA_C	Control_A	Control_B	Control_C	Control_D	Control_E	Control_F
A1CF	1.07175592536374	1.12928286810567	1.14886111594107	1.07641733918843	0.9820812083448	1.00365782867044	1.08201535960005	1.01906902649467	1.09747778880966
A4GALT	0.940807557469103	0.941507591227614	0.925353788642831	0.944966817061185	0.914353670232397	0.945810364596064	0.982394133093432	0.936727739253912	0.931800962351336
A4GNT	0.953732727106803	1.00437107006529	0.980781508010889	0.941764598287949	0.972214602054403	0.998546810244394	0.933802479498847	0.969775822280974	1.03098188064659
AAAS	1.24937030217322	1.17971982365112	1.11047213354305	1.23281893397373	1.15538936387604	1.16864062553728	1.15398827223638	1.04823041598527	1.12696194781649
AACS	1.58742822845159	1.59285954402448	1.58893045817292	1.64718622979916	1.51486088170765	1.50168485228494	1.42087649098082	1.43438820604462	1.5487295209564
AADAC	0.873112374812715	0.896645841879319	0.903592392056678	0.909108073660041	0.914239382597855	0.948777199637174	0.897422205225371	0.915779901463751	0.899874441058226
AAGAB	1.9107635617525	1.93814770853745	1.81698093678799	1.88869606997222	1.73341585086173	1.99536474700981	2.01930168076372	1.57719880351598	1.83742122176433
AAK1	1.18690882873672	1.1875131524017	1.19633629445295	1.15974476536826	1.2532094660851	1.30865414486056	1.27357819434045	1.28959938810704	1.20369209360715
AAMDC	2.12571165097544	1.95902526140413	2.14809723270617	2.46818150291368	2.50861120524351	2.61297231667228	2.40887373883145	2.22225978923339	2.20018393319551
AAMP	1.78031959015522	1.66444636790564	1.71143415632558	1.55973585340951	1.60282141804638	1.59970085258206	1.68631266176082	1.55419276643506	1.63212438877553
AANAT	0.896601555036515	0.884337474071434	0.880755059377709	0.878439340364647	0.794438456634867	0.824499967679879	0.86742801705352	0.851938113376939	0.911944931858654
AAR2	1.79223596493586	1.53898619330888	1.6738263038576	1.51075139409641	1.69391504390451	1.64679229202616	1.56807891306748	1.46741617095621	1.4887905077883
AARS	2.53130548349498	2.54928945490484	2.29568341416064	2.61553201846262	2.14226657341236	2.32798116985699	2.43851774544405	2.00529468320279	2.39946080639557
AASDHPPT	3.8475698288424	3.32519565666661	3.80739587479431	2.59702109006568	2.58971846581657	2.66415225977279	3.92378518016776	2.82940278707313	3.80531860737702
AASS	1.17899667256792	1.05530143525459	1.0549378722624	1.08213880429913	1.06301128137404	1.05459565657243	1.17777792707417	1.1449203865419	1.00334112045144
AATF	2.10858384885426	1.70737744573094	1.82576486771297	1.72116878776344	1.991009754026	2.20849587506783	1.75559050723646	1.68050616148876	1.64108517484748
AATK	1.35063347520206	1.25471131566005	1.42944328798161	1.26181976610685	1.32368921877641	1.37600097280811	1.31778247070802	1.36197245869722	1.31431507674111
ABAT	1.24823672950245	1.20701756516146	1.61198563899659	1.26741277574008	1.34607513056421	1.21156907560217	1.21496856725306	1.2546127661369	1.20129615438427
ABCA1	1.57448251320053	1.19483555811833	1.43063435113306	1.10156831045751	1.46255466434598	1.46556465052816	1.15250644268127	1.26130635385895	1.28980007729097
